A1BG        P04217
THBD        P07204
THBS1       P07996
THBS2       P35442
THBS3       P49746
THBS4       P35443
THEG        Q9P2T0
THEGL       P0DJG4
THEM4       Q5T1C6
THEM5       Q8N1Q8
THEM6       Q8WUY1
THEMIS      Q8N1K5
THEMIS2     Q5TEJ8
THG1L       Q9NWX6
THNSL1      Q8IYQ7
THNSL2      Q86YJ6
THOC1       Q96FV9
THOC2       Q8NI27
THOC3       Q96J01
THOC5       Q13769
THOC6       Q86W42
THOC7       Q6I9Y2
THOP1       P52888
THPO        P40225
THRA        P10827
THRAP3      Q9Y2W1
THRB        P10828
THRSP       Q92748
THSD1       Q9NS62
THSD4       Q6ZMP0
THSD7A      Q9UPZ6
THSD7B      Q9C0I4
THTPA       Q9BU02
THUMPD1     Q9NXG2
THUMPD2     Q9BTF0
THUMPD3     Q9BV44
THY1        P04216
THYN1       Q9P016
TIA1        P31483
TIAF1       O95411
TIAL1       Q01085
TIAM1       Q13009
TIAM2       Q8IVF5
TICAM1      Q8IUC6
TICAM2      Q86XR7
TICRR       Q7Z2Z1
TIE1        P35590
TIFA        Q96CG3
TIFAB       Q6ZNK6
TIGAR       Q9NQ88
TIGD1       Q96MW7
TIGD2       Q4W5G0
TIGD3       Q6B0B8
TIGD4       Q8IY51
TIGD5       Q53EQ6
TIGD6       Q17RP2
TIGD7       Q6NT04
TIGIT       Q495A1
TIMD4       Q96H15
TIMELESS    Q9UNS1
TIMM8A      O60220
TIMM8B      Q9Y5J9
TIMM9       Q9Y5J7
TIMM10      P62072
TIMM10B     Q9Y5J6
TIMM13      Q9Y5L4
TIMM17A     Q99595
TIMM17B     O60830
TIMM21      Q9BVV7
TIMM22      Q9Y584
TIMM23      O14925
TIMM23B     Q5SRD1
TIMM29      Q9BSF4
TIMM44      O43615
TIMM50      Q3ZCQ8
TIMMDC1     Q9NPL8
TIMP1       P01033
TIMP2       P16035
TIMP3       P35625
TIMP4       Q99727
TINAG       Q9UJW2
TINAGL1     Q9GZM7
TINF2       Q9BSI4
TIPARP      Q7Z3E1
TIPIN       Q9BVW5
TIPRL       O75663
TIRAP       P58753
TJAP1       Q5JTD0
TJP1        Q07157
TJP2        Q9UDY2
TJP3        O95049
TK1         P04183
TK2         O00142
TKFC        Q3LXA3
TKT         P29401
TKTL1       P51854
TKTL2       Q9H0I9
TLCD1       Q96CP7
TLCD2       A6NGC4
TLDC1       Q6P9B6
TLDC2       A0PJX2
TLE1        Q04724
TLE2        Q04725
TLE3        Q04726
TLE4        Q04727
TLE6        Q9H808
TLK1        Q9UKI8
TLK2        Q86UE8
TLL1        O43897
TLL2        Q9Y6L7
TLN1        Q9Y490
TLN2        Q9Y4G6
TLNRD1      Q9H1K6
TLR1        Q15399
TLR2        O60603
TLR3        O15455
TLR4        O00206
TLR5        O60602
TLR6        Q9Y2C9
TLR7        Q9NYK1
TLR8        Q9NR97
TLR9        Q9NR96
TLR10       Q9BXR5
TLX1        P31314
TLX2        O43763
TLX3        O43711
TM2D1       Q9BX74
TM2D2       Q9BX73
TM2D3       Q9BRN9
TM4SF1      P30408
TM4SF4      P48230
TM4SF5      O14894
TM4SF18     Q96CE8
TM4SF19     Q96DZ7
TM4SF20     Q53R12
TM6SF1      Q9BZW5
TM6SF2      Q9BZW4
TM7SF2      O76062
TM7SF3      Q9NS93
TM9SF1      O15321
TM9SF2      Q99805
TM9SF3      Q9HD45
TM9SF4      Q92544
TMA7        Q9Y2S6
TMA16       Q96EY4
TMBIM1      Q969X1
TMBIM4      Q9HC24
TMBIM6      P55061
TMC1        Q8TDI8
TMC2        Q8TDI7
TMC3        Q7Z5M5
TMC4        Q7Z404
TMC5        Q6UXY8
TMC6        Q7Z403
TMC7        Q7Z402
TMC8        Q8IU68
TMCC1       O94876
TMCC2       O75069
TMCC3       Q9ULS5
TMCO1       Q9UM00
TMCO2       Q7Z6W1
TMCO3       Q6UWJ1
TMCO4       Q5TGY1
TMCO5A      Q8N6Q1
TMCO6       Q96DC7
TMED1       Q13445
TMED2       Q15363
TMED3       Q9Y3Q3
TMED4       Q7Z7H5
TMED5       Q9Y3A6
TMED6       Q8WW62
TMED7       Q9Y3B3
TMED8       Q6PL24
TMED9       Q9BVK6
TMED10      P49755
TMEFF1      Q8IYR6
TMEFF2      Q9UIK5
TMEM2       Q9UHN6
TMEM5       Q9Y2B1
TMEM8A      Q9HCN3
TMEM8B      A6NDV4
TMEM9       Q9P0T7
TMEM9B      Q9NQ34
TMEM11      P17152
TMEM14A     Q9Y6G1
TMEM14B     Q9NUH8
TMEM14C     Q9P0S9
TMEM17      Q86X19
TMEM18      Q96B42
TMEM19      Q96HH6
TMEM25      Q86YD3
TMEM26      Q6ZUK4
TMEM27      Q9HBJ8
TMEM30A     Q9NV96
TMEM30B     Q3MIR4
TMEM31      Q5JXX7
TMEM33      P57088
TMEM35A     Q53FP2
TMEM35B     Q8NCS4
TMEM37      Q8WXS4
TMEM38A     Q9H6F2
TMEM38B     Q9NVV0
TMEM39A     Q9NV64
TMEM39B     Q9GZU3
TMEM40      Q8WWA1
TMEM41A     Q96HV5
TMEM41B     Q5BJD5
TMEM42      Q69YG0
TMEM43      Q9BTV4
TMEM44      Q2T9K0
TMEM45A     Q9NWC5
TMEM45B     Q96B21
TMEM47      Q9BQJ4
TMEM50A     O95807
TMEM50B     P56557
TMEM51      Q9NW97
TMEM52      Q8NDY8
TMEM52B     Q4KMG9
TMEM53      Q6P2H8
TMEM54      Q969K7
TMEM55A     Q8N4L2
TMEM55B     Q86T03
TMEM56      Q96MV1
TMEM57      Q8N5G2
TMEM59      Q9BXS4
TMEM59L     Q9UK28
TMEM60      Q9H2L4
TMEM61      Q8N0U2
TMEM62      Q0P6H9
TMEM63A     O94886
TMEM63B     Q5T3F8
TMEM63C     Q9P1W3
TMEM64      Q6YI46
TMEM65      Q6PI78
TMEM67      Q5HYA8
TMEM68      Q96MH6
TMEM69      Q5SWH9
TMEM70      Q9BUB7
TMEM71      Q6P5X7
TMEM72      A0PK05
TMEM74      Q96NL1
TMEM74B     Q9NUR3
TMEM78      Q5T7P6
TMEM79      Q9BSE2
TMEM80      Q96HE8
TMEM81      Q6P7N7
TMEM82      A0PJX8
TMEM86A     Q8N2M4
TMEM86B     Q8N661
TMEM87A     Q8NBN3
TMEM87B     Q96K49
TMEM88      Q6PEY1
TMEM88B     A6NKF7
TMEM89      A2RUT3
TMEM91      Q6ZNR0
TMEM92      Q6UXU6
TMEM94      Q12767
TMEM95      Q3KNT9
TMEM97      Q5BJF2
TMEM98      Q9Y2Y6
TMEM99      Q8N816
TMEM100     Q9NV29
TMEM101     Q96IK0
TMEM102     Q8N9M5
TMEM104     Q8NE00
TMEM105     Q8N8V8
TMEM106A    Q96A25
TMEM106B    Q9NUM4
TMEM106C    Q9BVX2
TMEM107     Q6UX40
TMEM108     Q6UXF1
TMEM109     Q9BVC6
TMEM110     Q86TL2
TMEM114     B3SHH9
TMEM115     Q12893
TMEM116     Q8NCL8
TMEM117     Q9H0C3
TMEM119     Q4V9L6
TMEM120A    Q9BXJ8
TMEM120B    A0PK00
TMEM121     Q9BTD3
TMEM123     Q8N131
TMEM125     Q96AQ2
TMEM126A    Q9H061
TMEM126B    Q8IUX1
TMEM127     O75204
TMEM128     Q5BJH2
TMEM129     A0AVI4
TMEM130     Q8N3G9
TMEM131     Q92545
TMEM131L    A2VDJ0
TMEM132A    Q24JP5
TMEM132B    Q14DG7
TMEM132C    Q8N3T6
TMEM132D    Q14C87
TMEM132E    Q6IEE7
TMEM133     Q9H2Q1
TMEM134     Q9H6X4
TMEM135     Q86UB9
TMEM136     Q6ZRR5
TMEM138     Q9NPI0
TMEM139     Q8IV31
TMEM140     Q9NV12
TMEM141     Q96I45
TMEM143     Q96AN5
TMEM144     Q7Z5S9
TMEM145     Q8NBT3
TMEM147     Q9BVK8
TMEM150A    Q86TG1
TMEM150B    A6NC51
TMEM150C    B9EJG8
TMEM151A    Q8N4L1
TMEM151B    Q8IW70
TMEM154     Q6P9G4
TMEM155     Q4W5P6
TMEM156     Q8N614
TMEM158     Q8WZ71
TMEM159     Q96B96
TMEM160     Q9NX00
TMEM161A    Q9NX61
TMEM161B    Q8NDZ6
TMEM163     Q8TC26
TMEM164     Q5U3C3
TMEM165     Q9HC07
TMEM167A    Q8TBQ9
TMEM167B    Q9NRX6
TMEM168     Q9H0V1
TMEM169     Q96HH4
TMEM170A    Q8WVE7
TMEM170B    Q5T4T1
TMEM171     Q8WVE6
TMEM173     Q86WV6
TMEM174     Q8WUU8
TMEM175     Q9BSA9
TMEM176A    Q96HP8
TMEM176B    Q3YBM2
TMEM177     Q53S58
TMEM178A    Q8NBL3
TMEM178B    H3BS89
TMEM179     Q6ZVK1
TMEM179B    Q7Z7N9
TMEM181     Q9P2C4
TMEM182     Q6ZP80
TMEM183A    Q8IXX5
TMEM184A    Q6ZMB5
TMEM184B    Q9Y519
TMEM184C    Q9NVA4
TMEM185A    Q8NFB2
TMEM185B    Q9H7F4
TMEM186     Q96B77
TMEM187     Q14656
TMEM189     A5PLL7
TMEM190     Q8WZ59
TMEM191B    P0C7N4
TMEM191C    A6NGB0
TMEM192     Q8IY95
TMEM196     Q5HYL7
TMEM198     Q66K66
TMEM199     Q8N511
TMEM200A    Q86VY9
TMEM200B    Q69YZ2
TMEM200C    A6NKL6
TMEM201     Q5SNT2
TMEM202     A6NGA9
TMEM203     Q969S6
TMEM204     Q9BSN7
TMEM205     Q6UW68
TMEM206     Q9H813
TMEM207     Q6UWW9
TMEM208     Q9BTX3
TMEM209     Q96SK2
TMEM210     A6NLX4
TMEM211     Q6ICI0
TMEM212     A6NML5
TMEM213     A2RRL7
TMEM214     Q6NUQ4
TMEM215     Q68D42
TMEM216     Q9P0N5
TMEM217     Q8N7C4
TMEM218     A2RU14
TMEM219     Q86XT9
TMEM220     Q6QAJ8
TMEM221     A6NGB7
TMEM222     Q9H0R3
TMEM223     A0PJW6
TMEM225     Q6GV28
TMEM225B    P0DP42
TMEM229A    B2RXF0
TMEM229B    Q8NBD8
TMEM230     Q96A57
TMEM231     Q9H6L2
TMEM232     C9JQI7
TMEM233     B4DJY2
TMEM234     Q8WY98
TMEM235     A6NFC5
TMEM236     Q5W0B7
TMEM237     Q96Q45
TMEM238     C9JI98
TMEM239     Q8WW34
TMEM240     Q5SV17
TMEM241     Q24JQ0
TMEM242     Q9NWH2
TMEM243     Q9BU79
TMEM244     Q5VVB8
TMEM245     Q9H330
TMEM246     Q9BRR3
TMEM247     A6NEH6
TMEM248     Q9NWD8
TMEM249     Q2WGJ8
TMEM250     H0YL14
TMEM251     Q8N6I4
TMEM252     Q8N6L7
TMEM253     P0C7T8
TMEM254     Q8TBM7
TMEM255A    Q5JRV8
TMEM255B    Q8WV15
TMEM256     Q8N2U0
TMEM257     O96002
TMEM258     P61165
TMEM259     Q4ZIN3
TMEM260     Q9NX78
TMEM262     E9PQX1
TMEM263     Q8WUH6
TMEM265     A0A087WTH1
TMEM266     Q2M3C6
TMEM267     Q0VDI3
TMEM268     Q5VZI3
TMEM270     Q6UE05
TMF1        P82094
TMIE        Q8NEW7
TMIGD1      Q6UXZ0
TMIGD2      Q96BF3
TMIGD3      P0DMS9
TMLHE       Q9NVH6
TMOD1       P28289
TMOD2       Q9NZR1
TMOD3       Q9NYL9
TMOD4       Q9NZQ9
TMPPE       Q6ZT21
TMPRSS2     O15393
TMPRSS3     P57727
TMPRSS4     Q9NRS4
TMPRSS5     Q9H3S3
TMPRSS6     Q8IU80
TMPRSS7     Q7RTY8
TMPRSS9     Q7Z410
TMPRSS11A   Q6ZMR5
TMPRSS11B   Q86T26
TMPRSS11D   O60235
TMPRSS11E   Q9UL52
TMPRSS11F   Q6ZWK6
TMPRSS12    Q86WS5
TMPRSS13    Q9BYE2
TMPRSS15    P98073
TMSB4X      P62328
TMSB4Y      O14604
TMSB10      P63313
TMSB15A     P0CG34
TMSB15B     P0CG35
TMTC1       Q8IUR5
TMTC2       Q8N394
TMTC3       Q6ZXV5
TMTC4       Q5T4D3
TMUB1       Q9BVT8
TMUB2       Q71RG4
TMX1        Q9H3N1
TMX2        Q9Y320
TMX3        Q96JJ7
TMX4        Q9H1E5
TNC         P24821
TNF         P01375
TNFAIP1     Q13829
TNFAIP2     Q03169
TNFAIP3     P21580
TNFAIP6     P98066
TNFAIP8     O95379
TNFAIP8L1   Q8WVP5
TNFAIP8L2   Q6P589
TNFAIP8L3   Q5GJ75
TNFRSF1A    P19438
TNFRSF1B    P20333
TNFRSF4     P43489
TNFRSF6B    O95407
TNFRSF8     P28908
TNFRSF9     Q07011
TNFRSF10A   O00220
TNFRSF10B   O14763
TNFRSF10C   O14798
TNFRSF10D   Q9UBN6
TNFRSF11A   Q9Y6Q6
TNFRSF11B   O00300
TNFRSF12A   Q9NP84
TNFRSF13B   O14836
TNFRSF13C   Q96RJ3
TNFRSF14    Q92956
TNFRSF17    Q02223
TNFRSF18    Q9Y5U5
TNFRSF19    Q9NS68
TNFRSF21    O75509
TNFRSF25    Q93038
TNFSF4      P23510
TNFSF8      P32971
TNFSF9      P41273
TNFSF10     P50591
TNFSF11     O14788
TNFSF12     O43508
TNFSF13     O75888
TNFSF13B    Q9Y275
TNFSF14     O43557
TNFSF15     O95150
TNFSF18     Q9UNG2
TNIK        Q9UKE5
TNIP1       Q15025
TNIP2       Q8NFZ5
TNIP3       Q96KP6
TNK1        Q13470
TNK2        Q07912
TNKS        O95271
TNKS1BP1    Q9C0C2
TNKS2       Q9H2K2
TNMD        Q9H2S6
TNN         Q9UQP3
TNNC1       P63316
TNNC2       P02585
TNNI1       P19237
TNNI2       P48788
TNNI3       P19429
TNNI3K      Q59H18
TNNT1       P13805
TNNT2       P45379
TNNT3       P45378
TNP1        P09430
TNP2        Q05952
TNPO1       Q92973
TNPO2       O14787
TNPO3       Q9Y5L0
TNR         Q92752
TNRC6A      Q8NDV7
TNRC6B      Q9UPQ9
TNRC6C      Q9HCJ0
TNRC18      O15417
TNS1        Q9HBL0
TNS2        Q63HR2
TNS3        Q68CZ2
TNS4        Q8IZW8
TNXB        P22105
TOB1        P50616
TOB2        Q14106
TOE1        Q96GM8
TOGARAM1    Q9Y4F4
TOGARAM2    Q6ZUX3
TOLLIP      Q9H0E2
TOM1        O60784
TOM1L1      O75674
TOM1L2      Q6ZVM7
TOMM5       Q8N4H5
TOMM6       Q96B49
TOMM7       Q9P0U1
TOMM20      Q15388
TOMM20L     Q6UXN7
TOMM22      Q9NS69
TOMM34      Q15785
TOMM40      O96008
TOMM40L     Q969M1
TOMM70      O94826
TONSL       Q96HA7
TOP1        P11387
TOP1MT      Q969P6
TOP2A       P11388
TOP2B       Q02880
TOP3A       Q13472
TOP3B       O95985
TOPAZ1      Q8N9V7
TOPBP1      Q92547
TOPORS      Q9NS56
TOR1A       O14656
TOR1AIP1    Q5JTV8
TOR1B       O14657
TOR3A       Q9H497
TOR4A       Q9NXH8
TOX         O94900
TOX2        Q96NM4
TOX3        O15405
TOX4        O94842
TP53        P04637
TP53AIP1    Q9HCN2
TP53BP1     Q12888
TP53BP2     Q13625
TP53I3      Q53FA7
TP53I11     O14683
TP53I13     Q8NBR0
TP53INP1    Q96A56
TP53INP2    Q8IXH6
TP53RK      Q96S44
TP53TG3     Q9ULZ0
TP53TG3B    Q9ULZ0
TP53TG3C    Q9ULZ0
TP53TG3D    Q9ULZ0
TP53TG3E    Q9ULZ0
TP53TG3F    Q9ULZ0
TP53TG5     Q9Y2B4
TP63        Q9H3D4
TP73        O15350
TPBG        Q13641
TPBGL       P0DKB5
TPCN1       Q9ULQ1
TPCN2       Q8NHX9
TPD52       P55327
TPD52L1     Q16890
TPD52L2     O43399
TPD52L3     Q96J77
TPGS1       Q6ZTW0
TPGS2       Q68CL5
TPH1        P17752
TPH2        Q8IWU9
TPI1        P60174
TPK1        Q9H3S4
TPM1        P09493
TPM2        P07951
TPM3        P06753
TPM4        P67936
TPMT        P51580
TPO         P07202
TPP1        O14773
TPP2        P29144
TPPP        O94811
TPPP2       P59282
TPPP3       Q9BW30
TPR         P12270
TPRA1       Q86W33
TPRG1       Q6ZUI0
TPRG1L      Q5T0D9
TPRKB       Q9Y3C4
TPRN        Q4KMQ1
TPRX1       Q8N7U7
TPSAB1      Q15661
TPSB2       P20231
TPSD1       Q9BZJ3
TPSG1       Q9NRR2
TPST1       O60507
TPST2       O60704
TPT1        P13693
TPTE        P56180
TPTE2       Q6XPS3
TPX2        Q9ULW0
TRA2A       Q13595
TRA2B       P62995
TRABD       Q9H4I3
TRABD2A     Q86V40
TRABD2B     A6NFA1
TRADD       Q15628
TRAF1       Q13077
TRAF2       Q12933
TRAF3       Q13114
TRAF3IP1    Q8TDR0
TRAF3IP2    O43734
TRAF3IP3    Q9Y228
TRAF4       Q9BUZ4
TRAF5       O00463
TRAF6       Q9Y4K3
TRAF7       Q6Q0C0
TRAFD1      O14545
TRAIP       Q9BWF2
TRAK1       Q9UPV9
TRAK2       O60296
TRAM1       Q15629
TRAM1L1     Q8N609
TRAM2       Q15035
TRANK1      O15050
TRAP1       Q12931
TRAPPC1     Q9Y5R8
TRAPPC2     P0DI81
TRAPPC2L    Q9UL33
TRAPPC3     O43617
TRAPPC3L    Q5T215
TRAPPC4     Q9Y296
TRAPPC5     Q8IUR0
TRAPPC6A    O75865
TRAPPC6B    Q86SZ2
TRAPPC8     Q9Y2L5
TRAPPC9     Q96Q05
TRAPPC10    P48553
TRAPPC11    Q7Z392
TRAPPC12    Q8WVT3
TRAPPC13    A5PLN9
TRAT1       Q6PIZ9
TRDMT1      O14717
TRDN        Q13061
TREH        O43280
TREM1       Q9NP99
TREM2       Q9NZC2
TREML1      Q86YW5
TREML2      Q5T2D2
TREML4      Q6UXN2
TRERF1      Q96PN7
TREX1       Q9NSU2
TREX2       Q9BQ50
TRH         P20396
TRHDE       Q9UKU6
TRHR        P34981
TRIAP1      O43715
TRIB1       Q96RU8
TRIB2       Q92519
TRIB3       Q96RU7
TRIL        Q7L0X0
TRIM2       Q9C040
TRIM3       O75382
TRIM4       Q9C037
TRIM5       Q9C035
TRIM6       Q9C030
TRIM7       Q9C029
TRIM8       Q9BZR9
TRIM9       Q9C026
TRIM10      Q9UDY6
TRIM11      Q96F44
TRIM13      O60858
TRIM14      Q14142
TRIM15      Q9C019
TRIM16      O95361
TRIM16L     Q309B1
TRIM17      Q9Y577
TRIM21      P19474
TRIM22      Q8IYM9
TRIM23      P36406
TRIM24      O15164
TRIM25      Q14258
TRIM26      Q12899
TRIM27      P14373
TRIM28      Q13263
TRIM29      Q14134
TRIM31      Q9BZY9
TRIM32      Q13049
TRIM33      Q9UPN9
TRIM34      Q9BYJ4
TRIM35      Q9UPQ4
TRIM36      Q9NQ86
TRIM37      O94972
TRIM38      O00635
TRIM39      Q9HCM9
TRIM40      Q6P9F5
TRIM41      Q8WV44
TRIM42      Q8IWZ5
TRIM43      Q96BQ3
TRIM43B     A6NCK2
TRIM44      Q96DX7
TRIM45      Q9H8W5
TRIM46      Q7Z4K8
TRIM47      Q96LD4
TRIM48      Q8IWZ4
TRIM49      P0CI25
TRIM49B     A6NDI0
TRIM49C     P0CI26
TRIM49D1    C9J1S8
TRIM49D2    C9J1S8
TRIM50      Q86XT4
TRIM51      Q9BSJ1
TRIM52      Q96A61
TRIM54      Q9BYV2
TRIM55      Q9BYV6
TRIM56      Q9BRZ2
TRIM58      Q8NG06
TRIM59      Q8IWR1
TRIM60      Q495X7
TRIM61      Q5EBN2
TRIM62      Q9BVG3
TRIM63      Q969Q1
TRIM64      A6NGJ6
TRIM64B     A6NI03
TRIM64C     A6NLI5
TRIM65      Q6PJ69
TRIM66      O15016
TRIM67      Q6ZTA4
TRIM68      Q6AZZ1
TRIM69      Q86WT6
TRIM71      Q2Q1W2
TRIM72      Q6ZMU5
TRIM73      Q86UV7
TRIM74      Q86UV6
TRIM77      I1YAP6
TRIML1      Q8N9V2
TRIML2      Q8N7C3
TRIO        O75962
TRIOBP      Q9H2D6
TRIP4       Q15650
TRIP6       Q15654
TRIP10      Q15642
TRIP11      Q15643
TRIP12      Q14669
TRIP13      Q15645
TRIQK       Q629K1
TRIR        Q9BQ61
TRIT1       Q9H3H1
TRMO        Q9BU70
TRMT1       Q9NXH9
TRMT1L      Q7Z2T5
TRMT2A      Q8IZ69
TRMT2B      Q96GJ1
TRMT5       Q32P41
TRMT6       Q9UJA5
TRMT10A     Q8TBZ6
TRMT10B     Q6PF06
TRMT10C     Q7L0Y3
TRMT11      Q7Z4G4
TRMT12      Q53H54
TRMT13      Q9NUP7
TRMT44      Q8IYL2
TRMT61A     Q96FX7
TRMT61B     Q9BVS5
TRMT112     Q9UI30
TRMU        O75648
TRNAU1AP    Q9NX07
TRNP1       Q6NT89
TRNT1       Q96Q11
TRO         Q12816
TROAP       Q12815
TROVE2      P10155
TRPA1       O75762
TRPC1       P48995
TRPC3       Q13507
TRPC4       Q9UBN4
TRPC4AP     Q8TEL6
TRPC5       Q9UL62
TRPC6       Q9Y210
TRPC7       Q9HCX4
TRPM1       Q7Z4N2
TRPM2       O94759
TRPM3       Q9HCF6
TRPM4       Q8TD43
TRPM5       Q9NZQ8
TRPM6       Q9BX84
TRPM7       Q96QT4
TRPM8       Q7Z2W7
TRPS1       Q9UHF7
TRPT1       Q86TN4
TRPV1       Q8NER1
TRPV2       Q9Y5S1
TRPV3       Q8NET8
TRPV4       Q9HBA0
TRPV5       Q9NQA5
TRPV6       Q9H1D0
TRRAP       Q9Y4A5
TRUB1       Q8WWH5
TRUB2       O95900
TSACC       Q96A04
TSC1        Q92574
TSC2        P49815
TSC22D1     Q15714
TSC22D2     O75157
TSC22D3     Q99576
TSC22D4     Q9Y3Q8
TSEN2       Q8NCE0
TSEN15      Q8WW01
TSEN34      Q9BSV6
TSEN54      Q7Z6J9
TSFM        P43897
TSG101      Q99816
TSGA10      Q9BZW7
TSGA10IP    Q3SY00
TSGA13      Q96PP4
TSHB        P01222
TSHR        P16473
TSHZ1       Q6ZSZ6
TSHZ2       Q9NRE2
TSHZ3       Q63HK5
TSKS        Q9UJT2
TSKU        Q8WUA8
TSLP        Q969D9
TSN         Q15631
TSNARE1     Q96NA8
TSNAX       Q99598
TSNAXIP1    Q2TAA8
TSPAN1      O60635
TSPAN2      O60636
TSPAN3      O60637
TSPAN4      O14817
TSPAN5      P62079
TSPAN6      O43657
TSPAN7      P41732
TSPAN8      P19075
TSPAN9      O75954
TSPAN10     Q9H1Z9
TSPAN11     A1L157
TSPAN12     O95859
TSPAN13     O95857
TSPAN14     Q8NG11
TSPAN15     O95858
TSPAN16     Q9UKR8
TSPAN17     Q96FV3
TSPAN18     Q96SJ8
TSPAN19     P0C672
TSPAN31     Q12999
TSPAN32     Q96QS1
TSPAN33     Q86UF1
TSPEAR      Q8WU66
TSPO2       Q5TGU0
TSPOAP1     O95153
TSPY1       Q01534
TSPY2       A6NKD2
TSPY3       P0CV98
TSPY4       P0CV99
TSPY8       P0CW00
TSPY10      P0CW01
TSPYL1      Q9H0U9
TSPYL2      Q9H2G4
TSPYL4      Q9UJ04
TSPYL5      Q86VY4
TSPYL6      Q8N831
TSR1        Q2NL82
TSR2        Q969E8
TSR3        Q9UJK0
TSSC4       Q9Y5U2
TSSK1B      Q9BXA7
TSSK2       Q96PF2
TSSK3       Q96PN8
TSSK4       Q6SA08
TSSK6       Q9BXA6
TST         Q16762
TSTA3       Q13630
TSTD1       Q8NFU3
TSTD2       Q5T7W7
TSTD3       H0UI37
TTBK1       Q5TCY1
TTBK2       Q6IQ55
TTC1        Q99614
TTC3        P53804
TTC4        O95801
TTC5        Q8N0Z6
TTC6        Q86TZ1
TTC7A       Q9ULT0
TTC7B       Q86TV6
TTC8        Q8TAM2
TTC9        Q92623
TTC9B       Q8N6N2
TTC9C       Q8N5M4
TTC12       Q9H892
TTC13       Q8NBP0
TTC14       Q96N46
TTC16       Q8NEE8
TTC17       Q96AE7
TTC19       Q6DKK2
TTC21A      Q8NDW8
TTC21B      Q7Z4L5
TTC22       Q5TAA0
TTC23       Q5W5X9
TTC23L      Q6PF05
TTC24       A2A3L6
TTC25       Q96NG3
TTC26       A0AVF1
TTC27       Q6P3X3
TTC28       Q96AY4
TTC29       Q8NA56
TTC30A      Q86WT1
TTC30B      Q8N4P2
TTC31       Q49AM3
TTC32       Q5I0X7
TTC33       Q6PID6
TTC34       A8MYJ7
TTC36       A6NLP5
TTC37       Q6PGP7
TTC38       Q5R3I4
TTC39A      Q5SRH9
TTC39B      Q5VTQ0
TTC39C      Q8N584
TTF1        Q15361
TTF2        Q9UNY4
TTI1        O43156
TTI2        Q6NXR4
TTK         P33981
TTL         Q8NG68
TTLL1       O95922
TTLL2       Q9BWV7
TTLL3       Q9Y4R7
TTLL4       Q14679
TTLL5       Q6EMB2
TTLL6       Q8N841
TTLL7       Q6ZT98
TTLL8       A6PVC2
TTLL9       Q3SXZ7
TTLL10      Q6ZVT0
TTLL11      Q8NHH1
TTLL12      Q14166
TTN         Q8WZ42
TTPA        P49638
TTPAL       Q9BTX7
TTR         P02766
TTYH1       Q9H313
TTYH2       Q9BSA4
TTYH3       Q9C0H2
TUB         P50607
TUBA1A      Q71U36
TUBA1B      P68363
TUBA1C      Q9BQE3
TUBA3C      Q13748
TUBA3D      Q13748
TUBA3E      Q6PEY2
TUBA4A      P68366
TUBA8       Q9NY65
TUBAL3      A6NHL2
TUBB        P07437
TUBB1       Q9H4B7
TUBB2A      Q13885
TUBB2B      Q9BVA1
TUBB3       Q13509
TUBB4A      P04350
TUBB4B      P68371
TUBB6       Q9BUF5
TUBB8       Q3ZCM7
TUBD1       Q9UJT1
TUBE1       Q9UJT0
TUBG1       P23258
TUBG2       Q9NRH3
TUBGCP2     Q9BSJ2
TUBGCP3     Q96CW5
TUBGCP4     Q9UGJ1
TUBGCP5     Q96RT8
TUBGCP6     Q96RT7
TUFM        P49411
TUFT1       Q9NNX1
TULP1       O00294
TULP2       O00295
TULP3       O75386
TULP4       Q9NRJ4
TUSC1       Q2TAM9
TUSC2       O75896
TUSC3       Q13454
TUSC5       Q8IXB3
TUT1        Q9H6E5
TVP23A      A6NH52
TVP23B      Q9NYZ1
TVP23C      Q96ET8
TWF1        Q12792
TWF2        Q6IBS0
TWIST1      Q15672
TWIST2      Q8WVJ9
TWISTNB     Q3B726
TWNK        Q96RR1
TWSG1       Q9GZX9
TXK         P42681
TXLNA       P40222
TXLNB       Q8N3L3
TXLNG       Q9NUQ3
TXN         P10599
TXN2        Q99757
TXNDC2      Q86VQ3
TXNDC5      Q8NBS9
TXNDC8      Q6A555
TXNDC9      O14530
TXNDC11     Q6PKC3
TXNDC12     O95881
TXNDC15     Q96J42
TXNDC16     Q9P2K2
TXNDC17     Q9BRA2
TXNIP       Q9H3M7
TXNL1       O43396
TXNL4A      P83876
TXNL4B      Q9NX01
TXNRD1      Q16881
TXNRD2      Q9NNW7
TXNRD3      Q86VQ6
TXNRD3NB    Q6F5E7
TYK2        P29597
TYMP        P19971
TYMS        P04818
TYR         P14679
TYRO3       Q06418
TYROBP      O43914
TYRP1       P17643
TYSND1      Q2T9J0
TYW1        Q9NV66
TYW1B       Q6NUM6
TYW3        Q6IPR3
TYW5        A2RUC4
U2AF1       Q01081
U2AF1L4     Q8WU68
U2AF1L5     P0DN76
U2AF2       P26368
U2SURP      O15042
UACA        Q9BZF9
UAP1        Q16222
UAP1L1      Q3KQV9
UBA1        P22314
UBA2        Q9UBT2
UBA3        Q8TBC4
UBA5        Q9GZZ9
UBA6        A0AVT1
UBA7        P41226
UBA52       P62987
UBAC1       Q9BSL1
UBAC2       Q8NBM4
UBALD1      Q8TB05
UBALD2      Q8IYN6
UBAP1       Q9NZ09
